Assay	Day	Allocation	srf14	emmean	SE	df	lower.CL	upper.CL
CDCP1	4	Placebo	Yes	0.04758568155217129	0.13864040618589457	952.9368026268158	-0.2244900885459163	0.3196614516502589
CDCP1	7	Placebo	Yes	0.23462652923720617	0.13857548478024964	951.8951052004609	-0.037322213888450584	0.5065752723628629
CD244	1	Anakinra	No	0.2698678582715923	0.057701420192220194	959.5237570454899	0.15663231811335152	0.3831033984298331
CD244	4	Anakinra	No	0.18243249029216715	0.05788515668377191	966.4534813341382	0.06883740709372599	0.2960275734906083
CD244	7	Anakinra	No	0.4712785097106986	0.05819251731757339	980.7063325503807	0.3570823363721564	0.5854746830492408
CD244	1	Placebo	No	0.20206661742801282	0.08809551216682644	1025.1481907316331	0.02919848982731088	0.37493474502871477
CD244	4	Placebo	No	0.11652309881344876	0.0870313316172908	995.1344739279558	-0.05426289634417335	0.28730909397107085
CD244	7	Placebo	No	0.3461152996671956	0.08862264887162903	1040.5863159426701	0.1722158314357919	0.5200147678985994
CD244	1	Anakinra	Yes	-0.0020780064015884225	0.11392072262196327	991.975025083362	-0.22563128405062172	0.22147527124744487
CD244	4	Anakinra	Yes	-0.37806043271136014	0.11632572349911649	1037.788600105399	-0.6063208742458558	-0.14979999117686452
CD244	7	Anakinra	Yes	-0.2200735924767673	0.11538557701081269	1018.6661624108913	-0.44649419198043605	0.006347007026901441
CD244	1	Placebo	Yes	-0.04981542181764184	0.1300899431496473	995.0271470581079	-0.3050975473021045	0.20546670366682082
CD244	4	Placebo	Yes	-0.3109556620169074	0.13459855099408602	1073.9154789785455	-0.5750616312109459	-0.04684969282286888
CD244	7	Placebo	Yes	-0.4467197233555304	0.13452363010300258	1072.8607534606608	-0.7106789774051949	-0.18276046930586587
IL7	1	Anakinra	No	-0.018556179997199586	0.061546999353499526	1061.056806390141	-0.13932384100286374	0.10221148100846456
IL7	4	Anakinra	No	-0.07592348073208496	0.06177142654174663	1068.1550956178403	-0.1971305934513357	0.045283631987165784
IL7	7	Anakinra	No	-0.015574099433693414	0.06216044221367571	1084.1208120861177	-0.13754249620614128	0.10639429733875447
IL7	1	Placebo	No	-0.056281052858438235	0.0943905361861123	1135.6664198878786	-0.2414804815293644	0.12891837581248794
IL7	4	Placebo	No	0.004538977479028261	0.09306664175141292	1103.9695450565193	-0.17806849100762062	0.18714644596567714
IL7	7	Placebo	No	0.02205648885970753	0.09505127527039424	1152.171805839372	-0.1644364960177252	0.20854947373714028
IL7	1	Anakinra	Yes	-0.10000314846504421	0.12178327408138304	1097.0263337149768	-0.33895761641653865	0.1389513194864502
IL7	4	Anakinra	Yes	0.02305775871724499	0.12471986035026049	1143.1829804525091	-0.22164775718273366	0.26776327461722366
IL7	7	Anakinra	Yes	-0.0546707921689463	0.12355964309406782	1123.4988688024625	-0.2971044156456004	0.1877628313077078
IL7	1	Placebo	Yes	-0.12951691155875072	0.1391015286152437	1101.6921450528944	-0.4024507485936642	0.14341692547616275
IL7	4	Placebo	Yes	0.2704004535657135	0.14465081537683605	1182.163523500113	-0.013400500966515516	0.5542014080979425
IL7	7	Placebo	Yes	0.10416535350032416	0.14456131858558224	1181.245920134517	-0.17946023657064555	0.38779094357129384
OPG	1	Anakinra	No	0.33983982145949543	0.05293745829611949	1037.4443631426866	0.2359631214279902	0.44371652149100066
OPG	4	Anakinra	No	-0.08390631239658156	0.05312524674779791	1044.56268054712	-0.18815067120034634	0.020338046407183216
OPG	7	Anakinra	No	-0.365599055155453	0.05344813716260454	1060.2408224733272	-0.4704752026702273	-0.2607229076406787
OPG	1	Placebo	No	0.22312875997103662	0.08110481348151127	1110.4092697360509	0.0639927889622339	0.3822647309798394
OPG	4	Placebo	No	-0.14635195043359772	0.08000165149790578	1078.8284256329723	-0.3033284185048474	0.010624517637651931
OPG	7	Placebo	No	-0.15317389610774976	0.08165442200325009	1126.8060972005974	-0.31338571158965	0.00703791937415052
OPG	1	Anakinra	Yes	0.637653963122849	0.10469602814607964	1072.844354530181	0.4322217580349945	0.8430861682107036
OPG	4	Anakinra	Yes	0.3597221381109575	0.10715317009490624	1119.305464515959	0.1494784404113002	0.5699658358106148
OPG	7	Anakinra	Yes	0.2563189037598981	0.1061846717752742	1099.585918511747	0.04797143810480678	0.4646663694149894
OPG	1	Placebo	Yes	0.6707267312595062	0.11957724113356281	1077.0857517326267	0.4360959863487945	0.9053574761702179
OPG	4	Placebo	Yes	0.5766867708294009	0.12421219013604927	1157.8843168630904	0.3329806043161031	0.8203929373426987
OPG	7	Placebo	Yes	0.17597665370028276	0.12413690728654353	1156.9239662696928	-0.06758201829382735	0.4195353256943929
LAP TGF-beta-1	1	Anakinra	No	0.011193935327372838	0.06158855772150771	1089.6159809471592	-0.1096516545120405	0.13203952516678616
LAP TGF-beta-1	4	Anakinra	No	-0.058141844483043104	0.06182014245205212	1096.6432538094314	-0.17944097245583945	0.06315728348975325
LAP TGF-beta-1	7	Anakinra	No	0.25407168622008297	0.06222545082869965	1112.8610096433147	0.1319792565662633	0.37616411587390264
LAP TGF-beta-1	1	Placebo	No	-0.11576999811084146	0.09456713393774845	1165.8295840562205	-0.3013107998310991	0.0697708036094162
LAP TGF-beta-1	4	Placebo	No	-0.002043948702617789	0.09319421674811348	1134.2176870790456	-0.18489638194815058	0.180808484542915
LAP TGF-beta-1	7	Placebo	No	0.13968126253271101	0.09525380442747526	1182.3516580934743	-0.04720407330494275	0.3265665983703648
LAP TGF-beta-1	1	Anakinra	Yes	-0.18321493585988527	0.12193589454428415	1126.0627874777474	-0.42246205100782375	0.056032179288053235
LAP TGF-beta-1	4	Anakinra	Yes	-0.13533984618042152	0.12496642238280205	1171.5595199813015	-0.3805228329192595	0.1098431405584164
LAP TGF-beta-1	7	Anakinra	Yes	0.1263985179048312	0.12376575163565373	1152.0477110812208	-0.11643301693732264	0.36923005274698506
LAP TGF-beta-1	1	Placebo	Yes	-0.15028246170495219	0.1392865389090378	1131.2816108473178	-0.4235714495629522	0.1230065261530478
LAP TGF-beta-1	4	Placebo	Yes	0.18711124245344932	0.1450255263655011	1210.8176223858397	-0.09741798395841308	0.47164046886531175
LAP TGF-beta-1	7	Placebo	Yes	-0.0804914130593968	0.14493377411138944	1209.9590800924166	-0.36484083030026426	0.20385800418147068
uPA	1	Anakinra	No	0.3594851505253131	0.059666398678378335	1059.8605900436546	0.24240745750706708	0.47656284354355916
uPA	4	Anakinra	No	-0.14420327849537004	0.059883675593514644	1066.960741115371	-0.2617064193622625	-0.02670013762847756
uPA	7	Anakinra	No	-0.13289842122252457	0.06026014413243907	1082.9135882915298	-0.2511382867206725	-0.01465855572437666
uPA	1	Placebo	No	0.34102793790548547	0.09150175279412108	1134.393713309216	0.16149624640077587	0.5205596294101951
uPA	4	Placebo	No	-0.18279953857892314	0.09022030634707293	1102.6986662638062	-0.3598223931453127	-0.005776684012533589
uPA	7	Placebo	No	-0.027172222716520197	0.09214124962388455	1150.8956588754781	-0.20795587512195557	0.15361142968891517
uPA	1	Anakinra	Yes	0.6241959525062977	0.11805921875054232	1095.8050313400695	0.3925482755727002	0.8558436294398951
uPA	4	Anakinra	Yes	0.15077842023449348	0.12090223914528868	1141.9824332815188	-0.08643702953152993	0.3879938700005169
uPA	7	Anakinra	Yes	0.1640650749422653	0.11977912193640239	1122.2941746520842	-0.07095114423960863	0.39908129412413923
uPA	1	Placebo	Yes	0.6567319251244798	0.13484747371690933	1100.448622716011	0.392144723797827	0.9213191264511325
uPA	4	Placebo	Yes	0.13662833421173487	0.1402194644089589	1180.9463914567757	-0.1384787211709237	0.41173538959439343
uPA	7	Placebo	Yes	0.09412946441384375	0.1401327956284305	1180.0264841250753	-0.18080776889378164	0.3690666977214691
IL6	1	Anakinra	No	0.30750753488525906	0.05423537696729171	1042.8718803902866	0.20108463662554787	0.41393043314497024
IL6	4	Anakinra	No	-0.2408550271983526	0.05442902736628823	1049.9887229716164	-0.34765707316146444	-0.13405298123524076
IL6	7	Anakinra	No	-0.6831788437088298	0.05476261842476944	1065.7391694616883	-0.7906336380147385	-0.575724049402921
IL6	1	Placebo	No	0.40015218826552734	0.08311275535464305	1116.2397659620249	0.23707735859662543	0.5632270179344292
IL6	4	Placebo	No	-0.14086418257666725	0.08197406313490975	1084.6173570326437	-0.3017098842100797	0.01998151905674525
IL6	7	Placebo	No	-0.3139375970052682	0.08368029410934591	1132.669116171066	-0.478123404596666	-0.14975178941387032
IL6	1	Anakinra	Yes	0.7946297543565881	0.1072752211694915	1078.4165628686612	0.5841379427660269	1.0051215659471493
IL6	4	Anakinra	Yes	0.45946701594467326	0.10980905947818553	1124.8274823602892	0.24401338074163348	0.674920651147713
IL6	7	Anakinra	Yes	0.4164611263438671	0.10880978193994491	1105.107379104191	0.20296404511848015	0.629958207569254
IL6	1	Placebo	Yes	0.837151712005841	0.12252468177792476	1082.7528633059803	0.5967390062547308	1.0775644177569514
IL6	4	Placebo	Yes	0.7109869417021839	0.12730629239822064	1163.5125591922979	0.46121136475475777	0.96076251864961
IL6	7	Placebo	Yes	0.5073649893006524	0.1272287532661067	1162.5615126147873	0.25774133187094633	0.7569886467303586
MCP-1	1	Anakinra	No	-0.0070937085180935305	0.059237008580906754	1145.3453587059676	-0.12331893278676079	0.10913151575057373
MCP-1	4	Anakinra	No	-0.09380730518613091	0.059471860433218796	1152.0899544641888	-0.21049259494652547	0.022877984574263655
MCP-1	7	Anakinra	No	-0.08111887832954051	0.059890550245054096	1168.4823439875843	-0.1986239144647972	0.036386157805716204
MCP-1	1	Placebo	No	0.050576929544810974	0.09116233456242154	1223.4088426158264	-0.12827490482186985	0.22942876391149178
MCP-1	4	Placebo	No	-0.10874701176658577	0.08975675096496791	1192.6733267393356	-0.28484571874777254	0.06735169521460102
MCP-1	7	Placebo	No	0.1420706696334125	0.09186832145876955	1239.6014508738958	-0.0381639124269664	0.32230525169379143
MCP-1	1	Anakinra	Yes	0.25017953841310486	0.11740654227508843	1182.031176913869	0.019831078207961567	0.48052799861824813
MCP-1	4	Anakinra	Yes	0.334859491968874	0.12048117190854157	1225.3733770815488	0.098487261100042	0.571231722837706
MCP-1	7	Anakinra	Yes	0.5710060701610056	0.11925668060397869	1206.59105414041	0.3370325700590625	0.8049795702629486
MCP-1	1	Placebo	Yes	0.6223064887552933	0.13413503919029804	1188.4485075341277	0.35913862663737406	0.8854743508732125
MCP-1	4	Placebo	Yes	0.9641546052442165	0.13998089067962888	1264.5267171237501	0.6895342474599848	1.2387749630284481
MCP-1	7	Placebo	Yes	0.5747814789607322	0.13988905871043403	1263.8028338853746	0.3003411303684672	0.8492218275529971
CXCL11	1	Anakinra	No	0.5146488871957154	0.05833999970180526	998.3888551111585	0.4001658019333057	0.6291319724581252
CXCL11	4	Anakinra	No	-0.15778010352551347	0.05853676346889086	1005.462056751206	-0.27264832598443856	-0.042911881066588414
CXCL11	7	Anakinra	No	-0.312259102295894	0.05887051780344772	1020.5141365601573	-0.4277802061189746	-0.1967379984728134
CXCL11	1	Placebo	No	0.5245305442099569	0.08922872250753147	1068.0292087141784	0.3494470488414343	0.6996140395784796
CXCL11	4	Placebo	No	-0.15119723858015333	0.08808090947366477	1037.0082876695642	-0.32403437508538424	0.02163989792507759
CXCL11	7	Placebo	No	-0.3362287373411137	0.08979892459675548	1084.0596508638132	-0.5124281201888291	-0.1600293544933983
CXCL11	1	Anakinra	Yes	0.5505408910839862	0.11528333101279184	1032.510877765751	0.32432453668980193	0.7767572454781704
CXCL11	4	Anakinra	Yes	-0.06537910588487951	0.11785817975087752	1078.973803326329	-0.29663630676100844	0.16587809499124945
CXCL11	7	Anakinra	Yes	-0.10095319947139629	0.11684738975086273	1059.4142612810815	-0.33023181724282813	0.12832541830003558
CXCL11	1	Placebo	Yes	0.7839461630538311	0.131657221666446	1036.1160473464263	0.5256009640081949	1.0422913620994674
CXCL11	4	Placebo	Yes	0.15245157981661903	0.136499413673753	1116.5415605800522	-0.11537267903450091	0.420275838667739
CXCL11	7	Placebo	Yes	-0.06433713057955157	0.13641985220213715	1115.5242507217072	-0.3320055474815069	0.20333128632240374
AXIN1	1	Anakinra	No	-0.1720807835555738	0.060984912489197615	1158.8853948328779	-0.29173398174496656	-0.052427585366181
AXIN1	4	Anakinra	No	0.023301400298553775	0.06122952463087218	1165.533210874841	-0.09683101376596988	0.14343381436307742
AXIN1	7	Anakinra	No	0.31894351855706077	0.06166755423170468	1181.9019987965307	0.19795343165066148	0.43993360546346005
AXIN1	1	Placebo	No	-0.17350029267895375	0.09390275019896184	1237.130670898267	-0.35772653849557734	0.010725953137669858
AXIN1	4	Placebo	No	-0.02190719563534944	0.09243541227105434	1206.7492892955902	-0.20325916673973657	0.1594447754690377
AXIN1	7	Placebo	No	0.2464375607197894	0.09464052424529089	1253.1711908512411	0.06076621561932982	0.43210890582024897
AXIN1	1	Anakinra	Yes	-0.32703827449511047	0.12090138054223204	1195.486575834472	-0.5642407763949702	-0.08983577259525072
AXIN1	4	Anakinra	Yes	-0.21251450422620596	0.12410430075446824	1238.1419342707313	-0.4559924756618947	0.030963467209482787
AXIN1	7	Anakinra	Yes	0.12324812753245207	0.12282716262983602	1219.612527432404	-0.11772783219375885	0.36422408725866295
AXIN1	1	Placebo	Yes	-0.38521611486331514	0.13813396875426776	1202.2171331603445	-0.6562265610463975	-0.11420566868023269
AXIN1	4	Placebo	Yes	-0.08546215650813975	0.14422949435292562	1277.142472608629	-0.368414924629038	0.1974906116127585
AXIN1	7	Placebo	Yes	0.05244642813860703	0.1441341610560363	1276.4544926113895	-0.23031945747664598	0.33521231375386007
TRAIL	1	Anakinra	No	-0.07720778278618104	0.05922870729589057	1086.7653158304875	-0.19342334637674802	0.03900778080438594
TRAIL	4	Anakinra	No	0.23821136010907126	0.05945076299811517	1093.8019553193228	0.12156092677134621	0.3548617934467963
TRAIL	7	Anakinra	No	0.41434210954982476	0.05983902282227831	1109.9993744981932	0.29693175584465137	0.5317524632549981
TRAIL	1	Placebo	No	0.11486821033569442	0.0909329312331204	1162.8382296190578	-0.06354275937931766	0.2932791800507065
TRAIL	4	Placebo	No	0.1736102253398665	0.08961715373635236	1131.206753271774	-0.002224303732059646	0.3494447544117927
TRAIL	7	Placebo	No	0.45746424014084425	0.09159088231220597	1179.3642874330503	0.27776498998822086	0.6371634902934676
TRAIL	1	Anakinra	Yes	-0.2702911427143803	0.11725709089444193	1123.175071752829	-0.5003587404348491	-0.04022354499391159
TRAIL	4	Anakinra	Yes	-0.2653088654675644	0.12016288275359172	1168.7516474979764	-0.5010679367876243	-0.029549794147504527
TRAIL	7	Anakinra	Yes	-0.1349432215091489	0.11901194693744888	1149.2163756636285	-0.3684482763294562	0.09856183331115842
TRAIL	1	Placebo	Yes	-0.22716779599519632	0.13394091558487267	1128.336771073408	-0.4899690678056803	0.03563347581528764
TRAIL	4	Placebo	Yes	-0.20078368101085858	0.13944253316412986	1207.9922149707568	-0.4743601329473995	0.07279277092568232
TRAIL	7	Placebo	Yes	-0.11637181781841195	0.1393544985571527	1207.1274424646608	-0.38977574848011054	0.15703211284328666
CXCL9	1	Anakinra	No	-0.009534691954462132	0.05959872377716447	996.2835062555897	-0.12648812546298308	0.10741874155405881
CXCL9	4	Anakinra	No	-0.12412855481259179	0.059799147605996236	1003.3514726524886	-0.24147428418160372	-0.006782825443579846
CXCL9	7	Anakinra	No	-0.03420433546696415	0.06013885788727657	1018.3646567012676	-0.1522145877419344	0.08380591680800609
CXCL9	1	Placebo	No	0.06871436080299692	0.0911452910900567	1065.7239793292538	-0.11013024061437332	0.24755896222036716
CXCL9	4	Placebo	No	-0.18216464822625011	0.08997657461060364	1034.7461866936567	-0.3587220126616265	-0.0056072837908736906
CXCL9	7	Placebo	No	-0.02511666713739613	0.09172578698874799	1081.7281112299688	-0.2050972856955338	0.15486395142074152
CXCL9	1	Anakinra	Yes	0.47973080204403495	0.11776514052022717	1030.3250436236299	0.24864390632947944	0.7108176977585905
CXCL9	4	Anakinra	Yes	0.2188016239411218	0.1203879112659528	1076.7697425506767	-0.0174198706887701	0.4550231185710137
CXCL9	7	Anakinra	Yes	0.6206277199168243	0.11935853886013735	1057.2267057752067	0.38642115670509136	0.8548342831285572
CXCL9	1	Placebo	Yes	0.43506936387819606	0.13449088312587873	1033.898231350184	0.1711631330179958	0.6989755947383963
CXCL9	4	Placebo	Yes	0.4191029853646028	0.1394223708155404	1114.2706110942067	0.14554301386003166	0.6926629568691739
CXCL9	7	Placebo	Yes	0.3503413350842239	0.1393412922313316	1113.2507588401454	0.07694017513559898	0.6237424950328487
CST5	1	Anakinra	No	-0.09887751096169989	0.06122264766667304	813.1937643174052	-0.21905055742157908	0.021295535498179294
CST5	4	Anakinra	No	-0.0016082106350771772	0.06136408309106051	818.6701394789253	-0.12205767765692721	0.11884125638677287
CST5	7	Anakinra	No	0.21681019740646912	0.06158768041560376	828.5495050801303	0.09592397291855195	0.3376964218943863
CST5	1	Placebo	No	-0.22170246793203474	0.09277490652312065	858.1996083306079	-0.4037947515757858	-0.03961018428828364
CST5	4	Placebo	No	-0.08729160463586048	0.09197911139560506	835.806778364721	-0.26782878674007465	0.09324557746835367
CST5	7	Placebo	No	0.2432546146212009	0.09316477350443747	869.4983655228298	0.060400482277311124	0.4261087469650907
CST5	1	Anakinra	Yes	-0.38183549954204377	0.1204131806135601	836.1467693076248	-0.6181831133389137	-0.14548788574517382
CST5	4	Anakinra	Yes	-0.5138624763004058	0.12226907500352009	873.1446542097433	-0.7538381091495994	-0.2738868434512123
CST5	7	Anakinra	Yes	-0.22096338165136867	0.12155634680680569	858.2544301558155	-0.45954589942697166	0.017619136124234352
CST5	1	Placebo	Yes	-0.35421392136726376	0.1374636268689422	837.7385849667756	-0.6240274961036547	-0.08440034663087281
CST5	4	Placebo	Yes	-0.2640812510334187	0.14089836014630286	899.8974062823459	-0.5406088842354622	0.012446382168624814
CST5	7	Placebo	Yes	-0.13873149813878188	0.14083886438377688	898.9162736513473	-0.41514277104571284	0.13767977476814908
OSM	1	Anakinra	No	-0.25353245481650893	0.06120315873068197	1029.4700038954754	-0.3736296390232366	-0.13343527060978128
OSM	4	Anakinra	No	-0.2169400057263691	0.06141815478006233	1036.5870796470947	-0.3374580964824891	-0.09642191497024911
OSM	7	Anakinra	No	-0.10039285420893922	0.06178681179028223	1052.1523766816688	-0.22163224744824833	0.0208465390303699
OSM	1	Placebo	No	-0.22616414481083344	0.09373621236536599	1101.8162754489435	-0.4100857824430691	-0.04224250717859779
OSM	4	Placebo	No	-0.021805253078921148	0.09247500921210412	1070.3125925800337	-0.20325813287812727	0.15964762672028499
OSM	7	Placebo	No	0.06592504802940896	0.09436418732511344	1118.1571461811368	-0.11922577589206837	0.2510758719508863
OSM	1	Anakinra	Yes	-0.20507126673262446	0.12102286862797806	1064.6426651235163	-0.4425416992423707	0.03239916577712176
OSM	4	Anakinra	Yes	-0.011323179516466449	0.12383603564061886	1111.1557437008253	-0.2543020174632927	0.23165565843035976
OSM	7	Anakinra	Yes	0.11439988131410853	0.12272810898059551	1091.4465286556192	-0.12640983412225895	0.35520959675047603
OSM	1	Placebo	Yes	-0.1820205657457019	0.13822204232484242	1068.7475031436536	-0.45323794031416076	0.08919680882275693
OSM	4	Placebo	Yes	0.21283440636443315	0.1435253079411555	1149.5634143901282	-0.0687665177001032	0.4944353304289695
OSM	7	Placebo	Yes	0.34892423158224	0.14343896526600083	1148.5899839601707	0.06749246303087741	0.6303560001336026
CXCL1	1	Anakinra	No	0.2375436525020183	0.06133167469729761	1034.0073390081045	0.1171949067444751	0.35789239825956154
CXCL1	4	Anakinra	No	-0.08505642756095905	0.06154833168691234	1041.1256194623863	-0.20582934318759127	0.035716488065673194
CXCL1	7	Anakinra	No	0.009509493418160792	0.06192041904553952	1056.756084633868	-0.11199145722965216	0.13101044406597373
CXCL1	1	Placebo	No	0.24136556617659294	0.09395152990857618	1106.7094659200607	0.057022346123114576	0.4257087862300713
CXCL1	4	Placebo	No	-0.0359384342776331	0.09267955651947002	1075.159532481578	-0.21779174519886235	0.14591487664359615
CXCL1	7	Placebo	No	0.21291846958070865	0.0945850807078062	1123.0833669993517	0.02733511552120757	0.3985018236402097
CXCL1	1	Anakinra	Yes	0.11328305961363913	0.12128870113330599	1069.3114930619586	-0.12470780538991513	0.3512739246171934
CXCL1	4	Anakinra	Yes	-0.07768339897621859	0.12412358519101745	1115.7981931790766	-0.32122533332298686	0.1658585353705497
CXCL1	7	Anakinra	Yes	-0.010961674352537545	0.1230065879483024	1096.081708276207	-0.25231667139798797	0.23039332269291285
