Assay	Day	Allocation	emmean	SE	df	lower.CL	upper.CL
CD244	4	Anakinra	0.11005984899930119	0.055877824847059956	920.9331669186998	3.9720053791757193e-4	0.21972249746068478
CD244	7	Anakinra	0.37141869033565156	0.056028006564900756	928.7571844839807	0.2614625227085264	0.48137485796277674
CD244	1	Placebo	0.16690875825050155	0.07769479506492002	965.0247683437841	0.0144385292818148	0.31937898721918834
CD244	4	Placebo	0.028606318939483073	0.07773884285695308	965.817961556739	-0.1239501931968065	0.18116283107577263
CD244	7	Placebo	0.15034163296132122	0.07877378465349169	999.2725922169639	-0.0042393795647521215	0.30492264548739456
IL7	1	Anakinra	-0.03624409035022133	0.05751127302018981	1018.8494794791795	-0.14909817892649524	0.07660999822605256
IL7	4	Anakinra	-0.05939859336671036	0.05784048080321752	1030.644741942215	-0.17289713988312447	0.05409995314970375
IL7	7	Anakinra	-0.025300666493989737	0.05803562020917851	1040.1661838853252	-0.13918090329765676	0.08857957030967727
IL7	1	Placebo	-0.08225013905784542	0.08073288896234132	1085.606748992487	-0.24066030506005187	0.07616002694436103
IL7	4	Placebo	0.07906026426155081	0.08078310295652881	1086.2509716169957	-0.07944832428609998	0.2375688528092016
IL7	7	Placebo	0.04488793316467327	0.08207791547791006	1122.9313128590547	-0.11615540432368607	0.2059312706530326
OPG	1	Anakinra	0.36479576181510837	0.05097356489488249	971.0697471357902	0.26476473206113943	0.4648267915690773
OPG	4	Anakinra	-0.032948191822224415	0.05124625609377446	982.6089750920493	-0.1335128797200414	0.06761649607559257
OPG	7	Anakinra	-0.27810034799018896	0.051404167625946864	991.4805268490867	-0.3789738053784113	-0.17722689060196664
OPG	1	Placebo	0.32285606028531405	0.07141104538357905	1033.1872014261512	0.1827288294180577	0.4629832911525704
OPG	4	Placebo	0.02684331296987698	0.07145398089977566	1033.8989000169997	-0.11336805546372496	0.1670546814034789
OPG	7	Placebo	-0.09230606695815817	0.0725186714430732	1069.7007488787112	-0.23460105460194836	0.04998892068563203
LAP TGF-beta-1	1	Anakinra	-0.0207329184744398	0.05755904202590628	1044.398478744246	-0.1336774578599726	0.092211620911093
LAP TGF-beta-1	4	Anakinra	-0.06717030247458022	0.057899246384434055	1056.2371899500158	-0.1807809263794123	0.04644032143025183
LAP TGF-beta-1	7	Anakinra	0.23511397944746087	0.058103331172749816	1066.0372906322725	0.12110410018824053	0.3491238587066812
LAP TGF-beta-1	1	Placebo	-0.118553748979899	0.08088454870264583	1113.258155095188	-0.2772570947232888	0.04014959676349082
LAP TGF-beta-1	4	Placebo	0.05913307358351825	0.08093561954228126	1113.8689925906235	-0.09967038332837791	0.2179365304954144
LAP TGF-beta-1	7	Placebo	0.08241765103158363	0.08227871221174904	1150.6737660263784	-0.07901546594090575	0.24385076800407302
uPA	1	Anakinra	0.39156167615555243	0.05614749672033362	1007.7582947199613	0.281382276911374	0.5017410753997308
uPA	4	Anakinra	-0.10766207178101317	0.05646419278064494	1019.5145957450165	-0.2184613939762874	0.0031372504142610363
uPA	7	Anakinra	-0.09481133756727766	0.056650923348591	1028.8997098861328	-0.20597587476991192	0.016353199635356586
uPA	1	Placebo	0.4168076595126052	0.07878211309635849	1073.518894465317	0.2622232687191648	0.5713920503060456
uPA	4	Placebo	-0.11151934488139696	0.07883076535463054	1074.1784163466734	-0.2661990927874301	0.04316040302463618
uPA	7	Placebo	-0.013556703645218868	0.08007429575778155	1110.7300106065268	-0.17067064357253192	0.14355723628209416
IL6	1	Anakinra	0.35146700111421963	0.054113437900474765	952.440538735696	0.2452716613133024	0.45766234091513686
IL6	4	Anakinra	-0.15907102041258275	0.054394475082456935	963.8169053905983	-0.26581628069977964	-0.05232576012538587
IL6	7	Anakinra	-0.5199482937851571	0.054555686669650175	972.3928886377257	-0.6270087330738384	-0.4128878544964757
IL6	1	Placebo	0.4727268342885555	0.0757482499031726	1012.5130474915667	0.3240853092068999	0.6213683593702111
IL6	4	Placebo	0.0494823795214742	0.07579307966157661	1013.2510740666058	-0.09924698578082666	0.19821174482377504
IL6	7	Placebo	-0.1294784162126835	0.07688709676144914	1048.4816196518125	-0.280348517357728	0.021391684932360988
MCP-1	1	Anakinra	0.00456817702535138	0.0570772754982027	1065.8188002695604	-0.10742841031164387	0.11656476436234663
MCP-1	4	Anakinra	-0.05078120572190502	0.05742315651946883	1077.6448570415403	-0.16345507240308635	0.06189266095927631
MCP-1	7	Anakinra	0.007730136179628957	0.0576326856880801	1087.6389575703433	-0.10535369353670308	0.12081396589596101
MCP-1	1	Placebo	0.18499194042149858	0.08027670620883577	1136.225848632604	0.02748470593904856	0.3424991749039486
MCP-1	4	Placebo	0.16154212005283358	0.08032797097474917	1136.8114951677833	0.003934387911199655	0.3191498521944675
MCP-1	7	Placebo	0.22889497839421738	0.08169765545051433	1173.536768706863	0.06860519903521789	0.38918475775321687
CXCL11	1	Anakinra	0.5094753640706235	0.054763379049571355	956.8757533566909	0.4020051759831687	0.6169455521580783
CXCL11	4	Anakinra	-0.15249304431325422	0.05504985798392232	968.2941465540858	-0.26052381853293427	-0.04446227009357416
CXCL11	7	Anakinra	-0.2833844626608127	0.05521456509184879	976.9425281754301	-0.39173726046364926	-0.1750316648579761
CXCL11	1	Placebo	0.5919334270478073	0.07667297893268331	1017.4466404638604	0.44147817035162135	0.7423886837439932
CXCL11	4	Placebo	-0.07392867720709612	0.07671853380154446	1018.178462098278	-0.2244731972758775	0.07661584286168527
CXCL11	7	Placebo	-0.26749843826794134	0.07783453133559318	1053.5566577064844	-0.4202267728967714	-0.11477010363911128
AXIN1	1	Anakinra	-0.18959884782736228	0.05696135656874734	1104.882119042564	-0.30136348765696985	-0.07783420799775471
AXIN1	4	Anakinra	-0.008630180128464867	0.05732120376760793	1116.5722175592348	-0.12109958966599156	0.10383922940906183
AXIN1	7	Anakinra	0.2937296807643883	0.05754299457652916	1126.8216203727704	0.1808262118935668	0.40663314963520986
AXIN1	1	Placebo	-0.22506864432941548	0.0802371546631114	1177.5793242693812	-0.38249238144839426	-0.06764490721043673
AXIN1	4	Placebo	-0.027003468431114633	0.08028934270286699	1178.1281545066706	-0.1845295219678067	0.1305225851055774
AXIN1	7	Placebo	0.20361685323344833	0.08172200849430455	1214.282606655262	0.04328484789352044	0.3639488585733762
TRAIL	1	Anakinra	-0.08581790412729173	0.05633819005778341	1023.7513314011981	-0.19636942821125608	0.0247336199566726
TRAIL	4	Anakinra	0.17193686956239662	0.05666273695965293	1035.559916993322	0.06074999301377615	0.2831237461110171
TRAIL	7	Anakinra	0.3367071249695889	0.056855560766884354	1045.1386926276675	0.22514307491478452	0.44827117502439323
TRAIL	1	Placebo	0.04348670470904359	0.07910215738812261	1090.9330895310623	-0.11172287296440703	0.1986962823824942
TRAIL	4	Placebo	0.0957213230914929	0.07915150642861812	1091.5706829852986	-0.05958498359777947	0.25102762978076526
TRAIL	7	Placebo	0.32039845185105287	0.08042891776327583	1128.29348229606	0.1625913870192455	0.47820551668286027
CXCL9	1	Anakinra	0.05254068401102257	0.057020501407206665	940.950931508075	-0.05936138387633206	0.1644427518983772
CXCL9	4	Anakinra	-0.09158186110110289	0.05731096904214703	952.2089087648111	-0.20405225573151037	0.0208885335293046
CXCL9	7	Anakinra	0.05981980779741786	0.05747660214124881	960.5916106972322	-0.052974382199414846	0.17261399779425057
CXCL9	1	Placebo	0.14178707384406733	0.07977695727908073	999.6995690767452	-0.014762424184047218	0.2983365718721819
CXCL9	4	Placebo	-0.045107273032507035	0.07982367309112386	1000.4533909311089	-0.20174830029315094	0.11153375422813688
CXCL9	7	Placebo	0.047178896458031166	0.0809522903889701	1035.2676788032113	-0.11167038922400813	0.20602818214007046
CST5	1	Anakinra	-0.13084407489763022	0.05824698219227224	787.9011257532742	-0.24518170167537096	-0.01650644811988948
CST5	4	Anakinra	-0.07571892853883168	0.05845055190408704	796.222251987775	-0.19045431373405847	0.039016456656395124
CST5	7	Anakinra	0.15563028381691008	0.058556753390673434	801.3829819269498	0.04068755750734612	0.27057301012647406
CST5	1	Placebo	-0.23215491043175845	0.08088381635454209	825.03819007681	-0.3909171822279789	-0.073392638635538
CST5	4	Placebo	-0.11205112052910363	0.08092076082091544	825.8827625311974	-0.27088566990261054	0.046783428844403285
CST5	7	Placebo	0.1584996473667279	0.08169021196054099	850.6310437450785	-0.0018383656365164591	0.31883766036997224
OSM	1	Anakinra	-0.255340040651918	0.05734811132226151	987.0793667505893	-0.3678782657824575	-0.1428018155213785
OSM	4	Anakinra	-0.1894892837002345	0.05766233234639008	998.7300955927595	-0.30264250630184686	-0.0763360610986221
OSM	7	Anakinra	-0.07015902064075025	0.05784574804592171	1007.8372672828511	-0.18367092304601434	0.043352881764513865
OSM	1	Placebo	-0.22713643596626992	0.08039659955380685	1050.8506536921689	-0.3848925747159269	-0.06938029721661293
OSM	4	Placebo	0.033767307119545356	0.08044553708787489	1051.5394511063453	-0.12408473880795871	0.1916193530470494
OSM	7	Placebo	0.1368510452319038	0.08167545164513126	1087.729695182584	-0.023408222529726852	0.29711031299353446
CXCL1	1	Anakinra	0.2092921046699417	0.05745082034071342	991.1842615924106	0.0965528996148352	0.3220313097250482
CXCL1	4	Anakinra	-0.08806262340589162	0.05776747360118403	1002.8593792001802	-0.20142160279198673	0.025296355980203508
CXCL1	7	Anakinra	0.0013755218025320176	0.05795268231850835	1012.024131346821	-0.11234565425004178	0.11509669785510582
CXCL1	1	Placebo	0.2894081060494056	0.08055463371780687	1055.3637795369252	0.13134264828553233	0.44747356381327885
CXCL1	4	Placebo	0.07864191824211052	0.08060381439920485	1056.0467165864443	-0.0795199251261179	0.23680376161033895
CXCL1	7	Placebo	0.2442803467110788	0.08184403556511319	1092.3212690778303	0.0836910444157736	0.404869649006384
CCL4	1	Anakinra	-0.38921607853847406	0.056066555764752245	920.9990193677392	-0.4992491092368586	-0.2791830478400895
CCL4	4	Anakinra	0.059786817600625354	0.05634215830666674	932.0185171792469	-0.05078537470756488	0.17035900990881558
CCL4	7	Anakinra	0.3619382921627572	0.05649766730676277	940.0466413206422	0.25106214272175986	0.4728144416037545
CCL4	1	Placebo	-0.32536948663593157	0.07837181837608215	977.3390661669808	-0.4791658898512152	-0.1715730834206479
CCL4	4	Placebo	0.04140277625053123	0.07841679314507104	978.118960089176	-0.11248173305634698	0.19528728555740946
CCL4	7	Placebo	0.3315133729422138	0.07948411684176998	1012.0949760957674	0.1755408428447063	0.4874859030397213
CD6	1	Anakinra	0.008660965707047358	0.056456299162692715	933.9796285313455	-0.10213492696295254	0.11945685837704725
CD6	4	Anakinra	0.07868989675977457	0.05674042109371372	945.1590442879627	-0.03266187827322421	0.19004167179277337
CD6	7	Anakinra	0.32053311810721297	0.056901845173272694	953.4205343481345	0.20886579266827693	0.432200443546149
CD6	1	Placebo	-0.0678307916731749	0.07896295722433719	991.9023031841891	-0.22278442148752656	0.08712283814117674
CD6	4	Placebo	0.06224181153611979	0.0790088833942147	992.6654605918111	-0.09280179626671037	0.21728541933894996
CD6	7	Placebo	0.2130816818083395	0.08011157964302183	1027.2034748176388	0.055880643088841664	0.37028272052783734
SCF	1	Anakinra	0.458282264834496	0.056199305540126455	859.7090539682432	0.34797835946330014	0.5685861702056919
SCF	4	Anakinra	0.013015753387914213	0.05644185348094341	869.7294806880639	-0.09776240809013098	0.12379391486595942
SCF	7	Anakinra	0.034350640999498576	0.056574108787025006	876.5331079095924	-0.07668589631824074	0.1453871783172379
SCF	1	Placebo	0.40408480815438774	0.07833019314199839	907.8376752374207	0.2503554974924826	0.5578141188162928
SCF	4	Placebo	-0.05383157745692423	0.07837167856704995	908.6782229601152	-0.20764211667036842	0.09997896175651994
SCF	7	Placebo	-0.01039640668249038	0.0793010160905455	939.174539668044	-0.16602410346320573	0.14523129009822494
IL18	1	Anakinra	0.36374638420560745	0.05727930243916652	700.3816683200936	0.2512866729390214	0.4762060954721935
IL18	4	Anakinra	0.03148792650668078	0.057409194133585084	705.8233426339599	-0.081225304266814	0.14420115728017557
IL18	7	Anakinra	-0.26259937330578886	0.057472913558266225	708.7993801045359	-0.375436892597219	-0.1497618540143587
IL18	1	Placebo	0.2883894148368724	0.07913356469589078	722.5430564427647	0.13303023642572795	0.44374859324801685
IL18	4	Placebo	-0.022292257618969465	0.07915905470250491	723.2260023283814	-0.17770123312106195	0.13311671788312301
IL18	7	Placebo	-0.3150325514908391	0.0796410509133741	738.7671520776744	-0.4713822924493535	-0.15868281053232472
SLAMF1	1	Anakinra	0.2143705768604322	0.05728610605248041	1022.4138463315279	0.1019587984113525	0.32678235530951194
SLAMF1	4	Anakinra	0.03853726259535857	0.057615545680196376	1034.2190327901105	-0.07451944146025338	0.15159396665097052
SLAMF1	7	Anakinra	0.025295032633709427	0.05781115270835652	1043.782344138231	-0.08814428560264304	0.1387343508700619
SLAMF1	1	Placebo	0.10559869275134567	0.08042865111883685	1089.4807630898395	-0.052213886166543017	0.2634112716692344
SLAMF1	4	Placebo	-0.034187506183286004	0.08047878660065311	1090.1201562634585	-0.1920983551184872	0.12372334275191518
SLAMF1	7	Placebo	0.20456984273228854	0.08177519836340119	1126.8322480229454	0.04412105939832828	0.3650186260662488
TGF-alpha	1	Anakinra	-0.1998777087312128	0.05737754161732757	1022.4765893248182	-0.31246890180769715	-0.08728651565472847
TGF-alpha	4	Anakinra	-0.2431706850295624	0.05770753378826025	1034.2819391990004	-0.35640788563807607	-0.12993348442104874
TGF-alpha	7	Anakinra	-0.06322572564555237	0.05790347470802702	1043.8459790125626	-0.17684619370080554	0.05039474240970079
TGF-alpha	1	Placebo	-0.20994075281868127	0.08055723354637216	1089.5489099319882	-0.3680056179541552	-0.051875887683207306
TGF-alpha	4	Placebo	0.035308102772882405	0.0806074511174112	1090.1882185223453	-0.1228551933057819	0.1934713988515467
TGF-alpha	7	Placebo	0.1915055628201754	0.08190604934660106	1126.9008272988374	0.030800051021659253	0.3522110746186915
MCP-4	1	Anakinra	-0.2525727558129199	0.05693527525252922	798.3041345026351	-0.36433328825620803	-0.14081222336963173
MCP-4	4	Anakinra	0.11545625042989609	0.05714155072282157	806.9077194370989	0.0032926275013154677	0.22761987335847672
MCP-4	7	Anakinra	0.3980994320987353	0.05724988909222227	812.3174378379981	0.285724275080688	0.5104745891167826
MCP-4	1	Placebo	-0.2939046828421061	0.07910673494727752	837.1147859160421	-0.4491755311373058	-0.13863383454690636
MCP-4	4	Placebo	0.1325275503305215	0.07914384028392499	837.9649479640684	-0.02281590019413829	0.28787100085518125
MCP-4	7	Placebo	0.35704066335913004	0.079925118510463	863.6527415014513	0.2001704694825706	0.5139108572356894
CCL11	1	Anakinra	-0.26600741965843644	0.057519421871435716	902.429874438257	-0.3788948192251558	-0.15312002009171707
CCL11	4	Anakinra	0.05067839699984563	0.05779220671801244	913.189496021271	-0.06274257436138825	0.16409936836107952
CCL11	7	Anakinra	0.24289587518384506	0.05794458502643404	920.8671648257077	0.12917710973933128	0.35661464062835885
CCL11	1	Placebo	-0.27360280714735347	0.08033397618549154	956.4076779269922	-0.4312540155188715	-0.11595159877583544
CCL11	4	Placebo	0.055933687463163476	0.08037911329124131	957.2096334974713	-0.10180593265625794	0.2136733075825849
CCL11	7	Placebo	0.32781335097175984	0.08143220214671167	990.2745811990347	0.1680138565182386	0.48761284542528105
TNFSF14	1	Anakinra	-0.23815459410791096	0.0572626398233451	984.1122309092772	-0.35052550845006475	-0.12578367976575716
TNFSF14	4	Anakinra	-0.14811662416746896	0.05757503601799437	995.744266574868	-0.2610989525671763	-0.035134295767761586
TNFSF14	7	Anakinra	0.18218417185609026	0.05775711969196565	1004.8090894465431	0.06884577601381235	0.29552256769836815
TNFSF14	1	Placebo	-0.30640529163613467	0.08026662538404732	1047.5843837947255	-0.46390695819573374	-0.1489036250765356
TNFSF14	4	Placebo	0.007474504171011987	0.08031537622132182	1048.277424581483	-0.15012270228088487	0.16507171062290882
TNFSF14	7	Placebo	0.2557180290796252	0.0815375852060219	1084.4028461385465	0.09572872882242836	0.4157073293368221
MMP-1	1	Anakinra	-0.1644108200432414	0.05808472603061351	819.4400439289897	-0.27842319027398427	-0.050398449812498525
MMP-1	4	Anakinra	0.028950905298070716	0.05830969678388004	828.5793255712882	-0.08550118441462183	0.14340299501076326
MMP-1	7	Anakinra	0.250727568572571	0.058429436920581924	834.4845191043268	0.1360416363803645	0.3654135007647775
MMP-1	1	Placebo	-0.29520948220830906	0.08079375305959662	861.5698571621939	-0.4537850957545886	-0.13663386866202956
MMP-1	4	Placebo	-0.0022311563856942974	0.08083351074958159	862.4243320149872	-0.16088458206628448	0.1564222692948959
MMP-1	7	Placebo	0.13932457708606508	0.08168908187346977	889.9115708707083	-0.021001134456501952	0.2996502886286321
LIF-R	1	Anakinra	0.36039315439799097	0.05606628997961181	963.9507243905546	0.2503670963560554	0.4704192124399265
LIF-R	4	Anakinra	-0.12874583797570857	0.05636291914632095	975.4319431598243	-0.23935237273823473	-0.018139303213182426
LIF-R	7	Anakinra	-0.34965525230412825	0.056534077069901274	984.1932052124537	-0.46059644027292	-0.2387140643353365
LIF-R	1	Placebo	0.39390602791084306	0.07852141534073352	1025.3017842660938	0.23982499348450453	0.5479870623371816
LIF-R	4	Placebo	-0.09753771956015293	0.07856835104416285	1026.0236162816113	-0.2517107268096347	0.056635287689328837
LIF-R	7	Placebo	-0.2512130918803894	0.07972519779125162	1061.6222939808708	-0.4076499597191335	-0.09477622404164537
FGF-21	1	Anakinra	0.2617778159135725	0.05359936386113203	1120.8936864277377	0.15661143438414094	0.3669441974430041
FGF-21	4	Anakinra	0.31989560517268273	0.05394335308684764	1132.4867253177451	0.21405545952256566	0.4257357508227998
FGF-21	7	Anakinra	0.0300015281399148	0.05415683682817566	1142.802264932808	-0.07625645946148293	0.13625951574131254
FGF-21	1	Placebo	0.28104396587270325	0.07554827928151882	1194.322218139761	0.13282184893061594	0.42926608281479056
FGF-21	4	Placebo	0.31034135504134286	0.07559775545380708	1194.8601192308086	0.1620222359447483	0.4586604741379374
FGF-21	7	Placebo	0.16774834298837132	0.07697020138158657	1230.6241893179395	0.016741001572084885	0.31875568440465774
CCL19	1	Anakinra	0.3445805534159104	0.05724876824363486	788.0882079258115	0.23220244110876015	0.4569586657230606
CCL19	4	Anakinra	-0.018942861192991902	0.057448982783369934	796.4145239288862	-0.1317121769895832	0.0938264546035994
CCL19	7	Anakinra	-0.04409940894818257	0.05755344661453419	801.5797589070146	-0.15707267373804373	0.0688738558416786
CCL19	1	Placebo	0.5176234638517072	0.07949847020245936	825.2555932765963	0.361580470113507	0.6736664575899074
CCL19	4	Placebo	0.155268002679004	0.07953479994384975	826.1002878233671	-8.460661768460997e-4	0.3113820715348541
CCL19	7	Placebo	0.12716062884784254	0.08029159731727449	850.8657730961369	-0.030432181910565764	0.2847534396062509
IL-10RB	1	Anakinra	0.08131117813029853	0.05652733407748496	851.5263792515943	-0.02963806083321778	0.19226041709381486
IL-10RB	4	Anakinra	0.009392861553454687	0.05676640355840794	861.3824006265008	-0.1020237973836367	0.12080952049054608
IL-10RB	7	Anakinra	0.30086529540311	0.05689613841444486	868.0088375821368	0.1891952025392821	0.4125353882669379
IL-10RB	1	Placebo	0.07407390081050164	0.07875558378269457	898.4724220567603	-0.08049242401718973	0.228640225638193
IL-10RB	4	Placebo	0.09993787018946355	0.07879674208935655	899.3178446473829	-0.054709036152504595	0.2545847765314317
IL-10RB	7	Placebo	0.4045952170056407	0.07971138970293684	929.248181411556	0.24816000857310372	0.5610304254381777
IL-18R1	1	Anakinra	0.3710351619705324	0.05501404052827109	813.6737459279661	0.26304899529352743	0.4790213286475373
IL-18R1	4	Anakinra	-0.2637309931035707	0.05522343400167445	822.6719271071785	-0.37212640867342384	-0.1553355775337175
IL-18R1	7	Anakinra	-0.4777870564763041	0.055334484201560986	828.443419587749	-0.5863993322926083	-0.36917478065999987
IL-18R1	1	Placebo	0.37666101138222413	0.07649955015866722	854.909121458558	0.2265120753339652	0.526809947430483
IL-18R1	4	Placebo	-0.17876388814953434	0.0765367328483624	855.7633040821289	-0.32898559167298824	-0.028542184626080463
IL-18R1	7	Placebo	-0.31076736992973336	0.07733218596761167	882.7743494727812	-0.4625437637056832	-0.15899097615378352
PD-L1	1	Anakinra	0.2738623765724093	0.05654355361227026	853.0310500288138	0.16288158129258434	0.38484317185223427
PD-L1	4	Anakinra	-0.090150016067811	0.0567835989349004	862.9178594827763	-0.201600145710418	0.021300113574795984
PD-L1	7	Anakinra	-0.31389008676252106	0.05691397885039451	869.5770971926762	-0.42559491377027114	-0.20218525975477095
PD-L1	1	Placebo	0.2981185102920733	0.07878405803230781	900.1959881854484	0.14349670101504633	0.4527403195691003
PD-L1	4	Placebo	0.013819953770319908	0.07882533457483927	901.0405853747048	-0.14088266973298355	0.16852257727362338
PD-L1	7	Placebo	-0.21869110855636417	0.07974396800020594	931.0767576627703	-0.3751898517153602	-0.062192365397368166
CXCL5	1	Anakinra	0.027385787086239094	0.057758542666514937	874.1480442591885	-0.08597583558396389	0.14074740975644207
CXCL5	4	Anakinra	0.03389526055451809	0.05801641685446886	884.4405722552129	-0.07997064979974783	0.147761170908784
CXCL5	7	Anakinra	0.2710808923715917	0.05815820472069765	891.5495254873141	0.1569379492715844	0.38522383547159905
CXCL5	1	Placebo	0.0040055086376584	0.08055999574074715	924.3158096417278	-0.1540962065218863	0.16210722379720308
CXCL5	4	Placebo	0.048565044078623595	0.08060360361066142	925.1455916508015	-0.10962206697541003	0.2067521551326572
CXCL5	7	Placebo	0.32176661211942503	0.08159422573468453	956.5830375565438	0.1616422674013266	0.4818909568375235
TRANCE	1	Anakinra	-0.1815943070314061	0.052850076984918753	1019.8456295163602	-0.28530163304447953	-0.07788698101833272
TRANCE	4	Anakinra	0.18382821748205314	0.05315299609012359	1031.6437923135009	0.07952789274860127	0.288128542215505
TRANCE	7	Anakinra	0.5377828247161193	0.05333263768606397	1041.1770316782886	0.43313112084871563	0.6424345285835229
TRANCE	1	Placebo	-0.3089737311688885	0.07419267572562303	1086.689963105815	-0.45455084544342506	-0.16339661689435192
TRANCE	4	Placebo	-0.013869107558165866	0.07423885055903054	1087.332831297771	-0.15953672772592256	0.13179851260959083
TRANCE	7	Placebo	0.3030076630088407	0.07543044352788986	1124.0225169355224	0.15500734430078317	0.4510079817168982
HGF	1	Anakinra	-0.10049396847477757	0.0576215302194852	1037.6757715607894	-0.21356197444949732	0.012574037499942181
HGF	4	Anakinra	-0.15045369525658442	0.05795933025958523	1049.509265948797	-0.2641830528694443	-0.03672433764372454
HGF	7	Anakinra	-0.04792780086698802	0.05816134235004284	1059.240931269969	-0.16205234148328906	0.06619673974931303
HGF	1	Placebo	-0.09219428368993021	0.08095023101609757	1106.0088730979699	-0.2510276375799227	0.06663907020006227
HGF	4	Placebo	0.03229824270237801	0.0810011502538408	1106.6281907765947	-0.12663492295237005	0.1912314083571261
HGF	7	Placebo	0.10725529861163738	0.08233344998323787	1143.4234285325392	-0.0542862939387089	0.2687968911619837
IL-12B	1	Anakinra	0.9201771392829494	0.04688772745405374	1012.7600999510427	0.8281689240357343	1.0121853545301644
IL-12B	4	Anakinra	0.13101331544503414	0.04715397697817411	1024.5354890969982	0.03848390877330865	0.22354272211675963
IL-12B	7	Anakinra	0.0309954798701405	0.047311340251134246	1033.9832072836746	-0.0618417146653407	0.1238326744056217
IL-12B	1	Placebo	0.9318664270071114	0.06580319308741968	1078.9763431138883	0.802749701854489	1.060983152159734
IL-12B	4	Placebo	0.17257865587522653	0.06584396313686107	1079.6289188950568	0.04338202085335835	0.3017752908970947
IL-12B	7	Placebo	0.10320376508750516	0.06689019960498957	1116.2441902102091	-0.02804092549733099	0.2344484556723413
MMP-10	1	Anakinra	0.4713934872620125	0.05482768059951872	855.6209673032395	0.36378098260017194	0.5790059919238532
MMP-10	4	Anakinra	0.052270416311430194	0.05506194848718046	865.5601830562837	-0.055800137516809865	0.16034097013967025
MMP-10	7	Anakinra	-0.043932479617624094	0.05518938407966865	872.2756504975157	-0.15225198465609716	0.06438702542084898
